incidentID,taxonomy,gen_Tangible Harm,orig_Tangible Harm,explanation
409,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the unauthorized use and distribution of a facial recognition dataset containing images of trans individuals without proper consent or ethical approval. While this raises significant ethical concerns and potential for harm, there is no direct evidence of tangible harm such as physical injury, financial loss, or property damage. However, the unauthorized use and distribution of personal data could lead to non-imminent risks of tangible harm, such as potential misuse of the data in the future."
410,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involving KFC's automated push notification does not indicate any tangible harm such as physical injury, loss, or damage. The incident primarily resulted in public outrage and reputational damage, which are considered intangible harms. There is no evidence of any physical or financial harm directly resulting from the notification."
412,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the illegal processing of personal data during a facial recognition technology trial by the National Police Board. While this constitutes a breach of data protection laws and a reprimand was issued, there is no indication of tangible harm such as loss, damage, or injury to individuals. The incident primarily concerns a violation of data protection regulations without evidence of direct physical or financial harm to the data subjects."
414,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves a translation error on Facebook that resulted in an offensive translation of a name. While this caused offense, there is no indication of tangible harm such as physical loss, damage, or injury. The incident primarily involves reputational harm and offense, which are considered intangible."
435,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident describes Coupang being fined for unfair business practices, which resulted in financial harm to the vendors who were coerced into raising prices and bearing the cost of promotional events. This financial loss to the vendors constitutes tangible harm."
452,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes the submission of ChatGPT-generated bug reports to the Immunefi platform, which were deemed nonsensical and a waste of time. However, there is no indication of any tangible harm such as loss, damage, or injury occurring as a result of these submissions. The issue primarily revolves around inefficiency and potential misuse of AI-generated content, but it does not meet the criteria for tangible harm as defined."
454,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a study showing that facial recognition software interprets emotions differently based on race, which could lead to biased assessments in real-world applications such as job interviews or threat assessments. While no specific tangible harm is reported, the potential for biased interpretations to affect individuals' opportunities or safety represents a non-imminent risk of tangible harm."
456,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident text describes interactions with the Replika chatbot, which led to feelings of discomfort and annoyance for the user. However, there is no indication of any tangible harm such as physical injury, financial loss, or damage to property. The interactions primarily resulted in emotional responses, which are considered intangible harms. Therefore, the classification is 'no tangible harm, near-miss, or issue'."
457,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes CNET's use of AI-generated content and the subsequent pause in its publication due to transparency concerns. There is no indication of tangible harm such as loss, damage, or injury occurring as a result of this incident. The issues raised are related to transparency and potential ethical concerns, which do not constitute tangible harm as defined in the taxonomy."
461,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a disparity in IRS audit rates between Black and non-Black taxpayers, which could lead to financial and social burdens on Black taxpayers. While this does not constitute immediate tangible harm, it represents a systemic issue that poses a non-imminent risk of tangible harm by potentially causing financial strain and stress on affected individuals."
474,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes users experiencing emotional distress and mental health struggles due to changes in the Replika AI chatbot's behavior, particularly in its refusal to engage in erotic roleplay. While there are reports of users being in crisis and the provision of suicide prevention resources, there is no definitive evidence of tangible harm such as physical injury or financial loss. However, the emotional distress and potential mental health impact suggest a non-imminent risk of tangible harm, as users are struggling with the changes and the lack of communication from the company."
476,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident text describes cases where online platforms' recommendation algorithms allegedly contributed to the radicalization of individuals who carried out terrorist attacks, resulting in the death of Nohemi Gonzalez and others. This indicates that tangible harm, specifically loss of life, definitively occurred as a result of the content amplification by these platforms."
489,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves allegations of bias in Workday's algorithm-based applicant screening system, which allegedly resulted in discrimination against Black applicants over 40, potentially affecting their employment opportunities. While there is no direct evidence of tangible harm such as physical injury or financial loss, the alleged bias in the system represents a non-imminent risk of tangible harm as it could lead to significant negative impacts on the affected individuals' employment prospects and livelihoods."
490,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a situation where a magazine is facing challenges due to submissions of AI-generated content, which is causing operational difficulties. However, there is no indication of direct tangible harm such as loss, damage, or injury. The issue is more about the potential disruption to the magazine's operations and the difficulty in managing submissions, which aligns with a non-imminent risk of tangible harm."
493,CSETv1,"no tangible harm, near-miss, or issue",non-imminent risk of tangible harm (an issue) occurred,"[Tangible Harm]: The incident involves an individual impersonating Andrew Tate using AI-generated voice technology to deceive followers on TikTok. While this could potentially lead to financial loss for those who purchase the fake course, there is no definitive evidence of tangible harm such as loss, damage, or injury occurring as a result of this impersonation. The incident primarily involves deception and potential financial exploitation, but without clear evidence of tangible harm, it is classified as 'no tangible harm, near-miss, or issue'."
501,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident text describes a situation where Frances Walter, an 85-year-old woman, experienced tangible harm due to the algorithm's prediction. The algorithm led to the premature termination of her Medicare Advantage coverage, forcing her to spend her life savings and enroll in Medicaid to continue receiving necessary care. This financial loss and the impact on her ability to receive care constitute tangible harm. Additionally, the text mentions that she died shortly before Christmas, which suggests that the harm had significant consequences."
509,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident text describes multiple cases where individuals were deceived into transferring significant amounts of money due to deepfake technology, resulting in a definitive financial loss. This constitutes tangible harm as the victims experienced a direct and measurable financial loss."
510,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the creation and dissemination of a deepfake image of Pope Francis, which led to confusion and shock among some social media users. However, there is no evidence of tangible harm such as physical injury, financial loss, or damage to property. The incident primarily resulted in misinformation and confusion, which are considered intangible harms."
519,CSETv1,"no tangible harm, near-miss, or issue",imminent risk of tangible harm (near miss) did occur,"[Tangible Harm]: The incident involving the delivery robot at UCLA did not result in any tangible harm such as loss, damage, or injury. The robot got stuck in a planter and was helped by humans, and later jumped down stairs, but there is no indication of any harm to people, property, or the robot itself. The incident is more of a demonstration of the robot's operational challenges rather than an event causing tangible harm."
520,CSETv1,"no tangible harm, near-miss, or issue",tangible harm definitively occurred,"[Tangible Harm]: The incident describes Amazon's decision to phase out its 'Just Walk Out' technology due to operational challenges and high costs. There is no mention of any tangible harm, such as loss, damage, or injury, occurring as a result of the technology's deployment or its discontinuation. The issues described are related to operational inefficiencies and business decisions rather than any harm to individuals or property."
