incidentID,taxonomy,gen_Tangible Harm,orig_Tangible Harm,explanation
409,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the unauthorized use and distribution of a facial recognition dataset containing images of trans individuals without proper consent or ethical oversight. While there is no direct evidence of tangible harm such as physical injury or financial loss, the exposure of personal data and potential misuse of this dataset represents a non-imminent risk of tangible harm. The dataset's availability and the lack of ethical approval suggest an issue that could lead to harm if the data were misused."
410,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involving KFC's automated push notification does not indicate any tangible harm such as physical injury, financial loss, or property damage. The harm appears to be reputational and emotional, as it caused offense and backlash due to the insensitive nature of the message. However, this does not meet the criteria for tangible harm as defined in the taxonomy."
412,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the illegal processing of personal data during a facial recognition technology trial by the National Police Board. While this constitutes a breach of data protection regulations, there is no indication in the text that this led to any tangible harm such as loss, damage, or injury to individuals. The reprimand and requirement to notify data subjects and request data erasure are corrective measures, but they do not imply that tangible harm occurred."
414,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves a translation error on Facebook that resulted in an offensive translation of a name. While this caused offense, there is no indication of tangible harm such as physical injury, financial loss, or damage to property. The harm appears to be reputational and emotional, which is considered intangible."
435,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident describes Coupang being fined for unfair business practices, which resulted in financial harm to the suppliers who were coerced into paying for ads and promotional expenses. This financial loss to the suppliers constitutes tangible harm."
452,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes the submission of ChatGPT-generated bug reports to the Immunefi platform, which were deemed nonsensical and a waste of time. However, there is no indication of any tangible harm such as loss, damage, or injury occurring as a result of these submissions. The issue primarily concerns inefficiency and potential misuse of AI-generated content, but it does not meet the criteria for tangible harm as defined."
454,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a study showing that facial recognition software interprets emotions differently based on race, which could lead to biased outcomes in real-world applications such as job interviews or threat assessments. While the study highlights a significant issue of bias, it does not provide evidence of specific tangible harm occurring to individuals. However, the potential for such bias to lead to discriminatory practices suggests a non-imminent risk of tangible harm."
456,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident text describes interactions with the Replika chatbot, which led to feelings of discomfort and annoyance for the user. However, there is no indication of any tangible harm such as physical injury, financial loss, or damage to property. The user's experience was primarily emotional and psychological, which does not qualify as tangible harm according to the provided definition."
457,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes CNET's use of AI-generated stories and the subsequent pause in their publication due to transparency concerns. However, there is no indication of tangible harm such as loss, damage, or injury resulting from this incident. The concerns raised are primarily about transparency and the use of AI in content creation, which do not constitute tangible harm as defined in the taxonomy."
461,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a disparity in IRS audit rates between Black and non-Black taxpayers, which could lead to financial and social burdens on Black taxpayers. While this does not constitute immediate tangible harm, it represents a non-imminent risk of tangible harm as it could result in financial loss or stress for the affected individuals."
474,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes users experiencing emotional distress and mental health struggles due to changes in the Replika AI chatbot's behavior, particularly in its refusal to engage in erotic roleplay. While there are reports of users being in crisis and the provision of suicide prevention resources, there is no definitive evidence of tangible harm such as physical injury or financial loss. However, the emotional distress and potential mental health impact suggest a non-imminent risk of tangible harm, as users are struggling with the changes and feeling a sense of loss and rejection."
476,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident text describes the case of Gonzalez v. Google, where the plaintiffs argue that Google's algorithmic recommendations of terrorist content contributed to the radicalization of individuals who carried out terrorist attacks, resulting in the death of Nohemi Gonzalez and others. This indicates that tangible harm, specifically loss of life, definitively occurred as a result of the alleged actions facilitated by the algorithm."
489,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves allegations of bias in Workday's algorithm-based applicant screening system, which allegedly resulted in discrimination against Black applicants over 40, like Derek Mobley, who was denied employment despite his qualifications. This suggests a non-imminent risk of tangible harm, as the bias could lead to systemic discrimination and loss of employment opportunities, which are tangible harms. However, there is no evidence of immediate or direct harm occurring, thus classifying it as a non-imminent risk."
490,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a situation where a magazine is facing challenges due to submissions of AI-generated content, which is causing operational difficulties. However, there is no indication of direct tangible harm such as loss, damage, or injury. The issue is more about operational disruption and potential future risks if the problem is not addressed, which aligns with a non-imminent risk of tangible harm."
493,CSETv1,non-imminent risk of tangible harm (an issue) occurred,non-imminent risk of tangible harm (an issue) occurred,"[Tangible Harm]: The incident involves the impersonation of Andrew Tate using AI-generated voices to deceive TikTok users and sell a knock-off online course. While this could lead to financial loss for individuals who purchase the course under false pretenses, there is no evidence of direct tangible harm such as physical injury or property damage. The risk of financial loss is present, but it is not imminent or certain, thus classifying it as a non-imminent risk of tangible harm."
